structure,type,seas_adj,date,value
gdp,nom,csa,1980-01-01,48861.3058246375
gdp,nom,csa,1980-04-01,49415.3500513887
gdp,nom,csa,1980-07-01,50142.2214011581
gdp,nom,csa,1980-10-01,50912.9453638935
gdp,nom,csa,1981-01-01,51916.085116065
gdp,nom,csa,1981-04-01,52971.6393853523
gdp,nom,csa,1981-07-01,54008.1377614069
gdp,nom,csa,1981-10-01,55019.8493065445
gdp,nom,csa,1982-01-01,55978.8568085139
gdp,nom,csa,1982-04-01,56470.947705588
gdp,nom,csa,1982-07-01,56896.8544604109
gdp,nom,csa,1982-10-01,57189.7590592438
gdp,nom,csa,1983-01-01,57310.863183908
gdp,nom,csa,1983-04-01,57988.6527552242
gdp,nom,csa,1983-07-01,58679.3795190507
gdp,nom,csa,1983-10-01,59608.587125878
gdp,nom,csa,1984-01-01,60862.0267550063
gdp,nom,csa,1984-04-01,61809.1757907698
gdp,nom,csa,1984-07-01,63069.5168744137
gdp,nom,csa,1984-10-01,63958.6349940283
gdp,nom,csa,1985-01-01,64885.5851231827
gdp,nom,csa,1985-04-01,65803.146564725
gdp,nom,csa,1985-07-01,66481.7784753321
gdp,nom,csa,1985-10-01,67655.0701886185
gdp,nom,csa,1986-01-01,68394.4832578936
gdp,nom,csa,1986-04-01,69367.1132270193
gdp,nom,csa,1986-07-01,69939.5370796678
gdp,nom,csa,1986-10-01,70139.4288625301
gdp,nom,csa,1987-01-01,70670.529474915
gdp,nom,csa,1987-04-01,71538.0748621014
gdp,nom,csa,1987-07-01,72506.8401747139
gdp,nom,csa,1987-10-01,73657.5775149725
gdp,nom,csa,1988-01-01,74611.5622522142
gdp,nom,csa,1988-04-01,75691.6331678108
gdp,nom,csa,1988-07-01,77167.1957989719
gdp,nom,csa,1988-10-01,78893.6015337911
gdp,nom,csa,1989-01-01,79951.8902098131
gdp,nom,csa,1989-04-01,81985.353940471
gdp,nom,csa,1989-07-01,83401.9341886837
gdp,nom,csa,1989-10-01,85465.1023686291
gdp,nom,csa,1990-01-01,87759.2588377631
gdp,nom,csa,1990-04-01,89214.1285284434
gdp,nom,csa,1990-07-01,90175.1709585951
gdp,nom,csa,1990-10-01,91277.9267062278
gdp,nom,csa,1991-01-01,92338.440347654
gdp,nom,csa,1991-04-01,93166.1411112197
gdp,nom,csa,1991-07-01,94222.5225587734
gdp,nom,csa,1991-10-01,94827.828520573
gdp,nom,csa,1992-01-01,95663.8800670863
gdp,nom,csa,1992-04-01,95886.459723246
gdp,nom,csa,1992-07-01,95267.9111823198
gdp,nom,csa,1992-10-01,95078.5172212674
gdp,nom,csa,1993-01-01,95739.1388686108
gdp,nom,csa,1993-04-01,97317.5503345226
gdp,nom,csa,1993-07-01,98399.9505636154
gdp,nom,csa,1993-10-01,98897.054562336
gdp,nom,csa,1994-01-01,99750.155431731
gdp,nom,csa,1994-04-01,99450.798742404
gdp,nom,csa,1994-07-01,100278.791520966
gdp,nom,csa,1994-10-01,100810.215996956
gdp,nom,csa,1995-01-01,100277.809420353
gdp,nom,csa,1995-04-01,100939.446248617
gdp,nom,csa,1995-07-01,101926.763585475
gdp,nom,csa,1995-10-01,102163.209216754
gdp,nom,csa,1996-01-01,102416.732395963
gdp,nom,csa,1996-04-01,102115.18250184
gdp,nom,csa,1996-07-01,101577.143858743
gdp,nom,csa,1996-10-01,102074.734783046
gdp,nom,csa,1997-01-01,102736.625730992
gdp,nom,csa,1997-04-01,103106.474581496
gdp,nom,csa,1997-07-01,104586.70519455
gdp,nom,csa,1997-10-01,105463.212913811
gdp,nom,csa,1998-01-01,106278.259032194
gdp,nom,csa,1998-04-01,107355.743816354
gdp,nom,csa,1998-07-01,107179.441249028
gdp,nom,csa,1998-10-01,106619.505340486
gdp,nom,csa,1999-01-01,106714.156707831
gdp,nom,csa,1999-04-01,107644.621541733
gdp,nom,csa,1999-07-01,108875.52158508
gdp,nom,csa,1999-10-01,111702.301726864
gdp,nom,csa,2000-01-01,113002.453344568
gdp,nom,csa,2000-04-01,114143.178837174
gdp,nom,csa,2000-07-01,115427.325415716
gdp,nom,csa,2000-10-01,117088.940546568
gdp,nom,csa,2001-01-01,117341.962104184
gdp,nom,csa,2001-04-01,118061.79583468
gdp,nom,csa,2001-07-01,117569.382107308
gdp,nom,csa,2001-10-01,117333.737323331
gdp,nom,csa,2002-01-01,117250.308904634
gdp,nom,csa,2002-04-01,117346.336876969
gdp,nom,csa,2002-07-01,117769.842717478
gdp,nom,csa,2002-10-01,117551.202569909
gdp,nom,csa,2003-01-01,117396.155591135
gdp,nom,csa,2003-04-01,117976.254722942
gdp,nom,csa,2003-07-01,119328.414477092
gdp,nom,csa,2003-10-01,120877.302893692
gdp,nom,csa,2004-01-01,121601.730166215
gdp,nom,csa,2004-04-01,122254.036340386
gdp,nom,csa,2004-07-01,122553.415759494
gdp,nom,csa,2004-10-01,123021.158562143
gdp,nom,csa,2005-01-01,124679.889266531
gdp,nom,csa,2005-04-01,126141.530792531
gdp,nom,csa,2005-07-01,128087.251775813
gdp,nom,csa,2005-10-01,129952.95602717
gdp,nom,csa,2006-01-01,132103.904172195
gdp,nom,csa,2006-04-01,134061.489623275
gdp,nom,csa,2006-07-01,135927.637981701
gdp,nom,csa,2006-10-01,138480.596882322
gdp,nom,csa,2007-01-01,140656.392801028
gdp,nom,csa,2007-04-01,143224.872193507
gdp,nom,csa,2007-07-01,145221.006099108
gdp,nom,csa,2007-10-01,147397.710139348
gdp,nom,csa,2008-01-01,149311.583544369
gdp,nom,csa,2008-04-01,150664.583097026
gdp,nom,csa,2008-07-01,151260.370260469
gdp,nom,csa,2008-10-01,148602.850792156
gdp,nom,csa,2009-01-01,146246.616076706
gdp,nom,csa,2009-04-01,146582.934726633
gdp,nom,csa,2009-07-01,147907.772887388
gdp,nom,csa,2009-10-01,148618.450599127
gdp,nom,csa,2010-01-01,150122.111465296
gdp,nom,csa,2010-04-01,151745.489923121
gdp,nom,csa,2010-07-01,152514.97992454
gdp,nom,csa,2010-10-01,153692.445137383
gdp,nom,csa,2011-01-01,155012.444367368
gdp,nom,csa,2011-04-01,155790.080314407
gdp,nom,csa,2011-07-01,154961.272764338
gdp,nom,csa,2011-10-01,155565.702665111
gdp,nom,csa,2012-01-01,155973.987182657
gdp,nom,csa,2012-04-01,156059.947699191
gdp,nom,csa,2012-07-01,156962.329866432
gdp,nom,csa,2012-10-01,157276.980249596
gdp,nom,csa,2013-01-01,158051.221898866
gdp,nom,csa,2013-04-01,159311.856537143
gdp,nom,csa,2013-07-01,160477.202848179
